vessel name,country,vessel_code,is_ulysses,account_type,gl_account,account_type,account_category,pl_mapping_1,pnl_contribution_daily_usd_rounded,Business Date Local,order_account_full_code
,US,RDU-001-01,FALSE,Kitchens (US),509005,,,L1 Expenses,1405.503667,6/1/2024,RDU-001-AK01-US22-509005-32
,US,RDU-001-01,FALSE,Kitchens (US),613020,,,L4 Expenses,46.85,6/1/2024,RDU-001-AK01-US22-613020-32
Tom & Jerry,CA,TOR-005-02,TRUE,Kitchens (CAN),511005,,,L1 Expenses,80.701,6/1/2024,TOR-005-EK02-CA22-511005-11
,US,RHQ-MF0-70,FALSE,Kitchens (US),507010,,,L1 Expenses,7.720333333,6/1/2024,RHQ-MF0-HQ70-US20-507010-16
Tom & Jerry,CA,TOR-005-02,TRUE,Kitchens (CAN),511005,,,L1 Expenses,43.64733333,6/1/2024,TOR-005-EK02-CA22-511005-11
Preston,CA,OTT-006-01,TRUE,Kitchens (CAN),511005,,,L1 Expenses,52.66666667,6/1/2024,OTT-006-EK01-CA22-511005-11
Preston,CA,OTT-006-01,TRUE,Kitchens (CAN),511005,,,L1 Expenses,49.94866667,6/1/2024,OTT-006-EK01-CA22-511005-11
,US,RHQ-000-51,FALSE,Kitchens (US),507010,,,L1 Expenses,4.63,6/1/2024,RHQ-000-HQ51-US20-507010-31
,GB,FC-1001076,FALSE,REEF UK,613015,,,L4 Expenses,41.973,6/1/2024,GB-M25861-GB-XX-RE-2000138-FC-1001076-GB11-D00019-07-613015
GRAVITY 2,GB,LDN-292-02,TRUE,REEF UK,511005,,,L1 Expenses,49.14,6/1/2024,GB-M25861-GB-XX-RE-1889236-KI-1002209-GB11-D00019-07-511005
Preston,CA,OTT-006-01,TRUE,Kitchens (CAN),515040,,,L1 Expenses,3.448333333,6/1/2024,OTT-006-EK01-CA22-515040-11
,CA,RHQ-000-54,FALSE,Kitchens (CAN),537010,,,L3 Expenses,49.763,6/1/2024,RHQ-000-HQ54-CA20-537010-31
Sherni,CA,TOR-028-02,TRUE,Kitchens (CAN),511005,,,L1 Expenses,23.96733333,6/1/2024,TOR-028-EK02-CA22-511005-11
Demons,US,DEN-011-01,TRUE,Kitchens (US),507005,,,L1 Expenses,33.33333333,6/1/2024,DEN-011-BK01-US25-507005-50
Athena,US,MIA-112-01,TRUE,Kitchens (US),511005,,,L1 Expenses,11.99366667,6/1/2024,MIA-112-EK01-US23-511005-11
Tasty's,US,MIA-107-01,TRUE,Kitchens (US),511005,,,L1 Expenses,71.42633333,6/1/2024,MIA-107-HK01-US23-511005-32
Stacey,US,MIA-049-01,TRUE,Kitchens (US),511005,,,L1 Expenses,55.11133333,6/1/2024,MIA-049-EK01-US23-511005-11
,US,MIA-037-04,FALSE,Kitchens (US),511005,,,L1 Expenses,20.61266667,6/1/2024,MIA-037-EK04-US23-511005-11
Sherni,CA,TOR-028-02,TRUE,Kitchens (CAN),511005,,,L1 Expenses,132.0606667,6/1/2024,TOR-028-EK02-CA22-511005-11
NLAA,US,MIA-028-01,TRUE,Kitchens (US),511005,,,L1 Expenses,89.715,6/1/2024,MIA-028-EK01-US23-511005-11
NLAA,US,MIA-028-01,TRUE,Kitchens (US),515030,,,L1 Expenses,2.391333333,6/1/2024,MIA-028-EK01-US23-515030-11
Eleanor,US,MIA-009-07,TRUE,Kitchens (US),511005,,,L1 Expenses,180.4376667,6/1/2024,MIA-009-EK07-US23-511005-11
La Perla,US,MIA-007-02,TRUE,Kitchens (US),511005,,,L1 Expenses,39.00633333,6/1/2024,MIA-007-EK02-US23-511005-11
Pinky,US,GBY-001-01,TRUE,Kitchens (US),511005,,,L1 Expenses,-34.169,6/1/2024,GBY-001-EK01-US20-511005-11
Creatures,US,DEN-011-02,TRUE,Kitchens (US),511005,,,L1 Expenses,37.10966667,6/1/2024,DEN-011-EK02-US25-511005-11
Demons,US,DEN-011-01,TRUE,Kitchens (US),511005,,,L1 Expenses,106.87,6/1/2024,DEN-011-EK01-US25-511005-11
,US,DEN-002-01,FALSE,Kitchens (US),511005,,,L1 Expenses,3.694,6/1/2024,DEN-002-EK01-US25-511005-11
After Eats,US,BAL-041-01,TRUE,Kitchens (US),511005,,,L1 Expenses,32.76033333,6/1/2024,BAL-041-BK01-US21-511005-32
N&R Ltd,GB,LDN-261-01,TRUE,REEF UK,515005,,,L1 Expenses,86.92966667,6/1/2024,GB-M25861-GB-XX-RE-1552193-KI-1001267-GB11-D00019-04-515005
N&R Ltd,GB,LDN-261-01,TRUE,REEF UK,515005,,,L1 Expenses,17.24566667,6/1/2024,GB-M25861-GB-XX-RE-1552193-KI-1001267-GB11-D00019-04-515005
,US,BAL-029-01,FALSE,Kitchens (US),511005,,,L1 Expenses,-25.43866667,6/1/2024,BAL-029-EK01-US21-511005-31
Simba,CA,TOR-018-01,TRUE,Kitchens (CAN),511005,,,L1 Expenses,108.5673333,6/1/2024,TOR-018-EK01-CA22-511005-11
